id,name,parent,depth
1,IT/通信/电子/互联网,0,1
2,互联网,1,2
3,电子商务,2,3
4,金融与支付,2,3
5,网络游戏,2,3
6,社交网络平台,2,3
7,视频音乐,2,3
9,安全,2,3
10,云计算,2,3
12,工具类客户端应用,2,3
13,互联网广告,2,3
14,企业互联网服务,2,3
16,在线教育,2,3
17,在线医疗,2,3
19,B2B,3,4
20,B2C,3,4
21,C2C,3,4
22,生活信息本地化,3,4
23,商旅,3,4
24,第三方支付,4,4
26,客户端游戏,5,4
27,网页游戏,5,4
28,手机游戏,5,4
29,微博,6,4
30,社交网站,6,4
31,在线视频,7,4
32,在线音乐,7,4
35,企业安全,9,4
36,个人安全,9,4
37,企业级云服务,10,4
38,个人级云服务,10,4
43,输入法,12,4
44,浏览器,12,4
45,词典,12,4
46,播放器,12,4
47,下载器,12,4
48,IM,12,4
49,广告服务,13,4
50,第三方广告网络平台,13,4
51,媒体代理,13,4
52,创意代理,13,4
53,IT-综合,1,2
71,团购,3,4
72,地图,2,3
73,数据存储,2,3
414,计算机软件,1,2
415,计算机硬件,1,2
416,计算机服务(系统、数据服务、维修),1,2
417,通信/电信/网络设备,1,2
418,通信/电信运营、增值服务,1,2
419,电子技术/半导体/集成电路,1,2
472,P2P网贷,4,4
473,互联网理财,4,4
474,婚恋,6,4
476,虚拟化,10,4
477,邮箱,12,4
478,商业智能,14,4
479,企业建站,14,4
480,安防,14,4
481,网络营销,2,3
487,智能终端,2,3
488,移动互联网,2,3
489,数字城市,2,3
490,大数据,2,3
491,互联网人力资源,2,3
492,舆情监控,2,3
493,移动营销,481,4
494,微博营销,481,4
495,精准营销,481,4
496,海外营销,481,4
497,微信营销,481,4
498,智能手机,487,4
499,可穿戴设备,487,4
500,智能电视,487,4
501,WAP,488,4
502,物联网,489,4
503,O2O,489,4
504,数字出版,489,4
505,搜索,2,3
506,垂直搜索,505,4
507,无线搜索,505,4
508,网页搜索,505,4
509,网址导航,2,3
510,门户,2,3
511,网络文学,2,3
512,自媒体,2,3
513,金融,0,1
514,建筑与房地产,0,1
515,专业服务,0,1
516,教育培训,0,1
517,文化传媒,0,1
518,消费品,0,1
519,工业,0,1
520,交通物流,0,1
521,国际贸易,0,1
522,医药,0,1
523,医疗器械,0,1
524,保健品,0,1
525,服务业,0,1
526,能源,0,1
527,化工,0,1
528,政府,0,1
529,公共事业,0,1
530,非盈利机构,0,1
531,农业,0,1
532,林业,0,1
533,畜牧业,0,1
534,渔业,0,1
535,学术科研,0,1
536,零售,0,1
537,银行,513,2
538,保险,513,2
539,证券,513,2
540,基金,513,2
541,信托,513,2
542,担保,513,2
543,典当,513,2
544,拍卖,513,2
545,投资,513,2
546,期货,513,2
547,房地产开发,514,2
548,工程施工,514,2
549,建筑设计,514,2
550,房地产代理,514,2
551,物业管理,514,2
552,室内设计,514,2
553,装修装潢,514,2
554,市政工程,514,2
555,工程造价,514,2
556,工程监理,514,2
557,环境工程,514,2
558,园林景观,514,2
559,法律,515,2
560,人力资源,515,2
561,会计,515,2
562,审计,515,2
563,检测认证,515,2
565,翻译,515,2
566,中介,515,2
567,咨询,515,2
568,外包服务,515,2
569,家教,516,2
570,早教,516,2
571,职业技能培训,516,2
572,外语培训,516,2
573,设计培训,516,2
574,IT培训,516,2
575,文艺体育培训,516,2
576,学历教育,516,2
577,管理培训,516,2
578,民办基础教育,516,2
579,广告,517,2
580,媒体,517,2
581,会展,517,2
582,公关,517,2
583,影视,517,2
584,艺术,517,2
585,文化传播,517,2
586,娱乐,517,2
587,体育,517,2
588,出版,517,2
589,休闲,517,2
590,动漫,517,2
591,市场推广,517,2
592,市场研究,517,2
593,食品,518,2
594,饮料,518,2
595,烟草,518,2
596,酒品,518,2
597,服饰,518,2
598,纺织,518,2
599,化妆品,518,2
600,日用品,518,2
601,家电,518,2
602,家具,518,2
603,办公用品,518,2
604,奢侈品,518,2
605,珠宝,518,2
606,数码产品,518,2
607,玩具,518,2
608,图书,518,2
609,音像,518,2
610,钟表,518,2
611,箱包,518,2
612,母婴,518,2
613,营养保健,518,2
614,户外用品,518,2
615,健身器材,518,2
616,乐器,518,2
617,汽车用品,518,2
619,厨具,518,2
620,机械制造,519,2
621,流体控制,519,2
622,自动化控制,519,2
623,仪器仪表,519,2
624,航空/航天,519,2
625,交通设施,519,2
626,工业电子,519,2
627,建材,519,2
628,五金材料,519,2
629,汽车,519,2
630,印刷,519,2
631,造纸,519,2
632,包装,519,2
633,原材料及加工,519,2
634,物流,520,2
635,仓储,520,2
636,客运,520,2
637,快递,520,2
638,化学药,522,2
639,中药,522,2
640,生物制药,522,2
641,兽药,522,2
642,农药,522,2
643,CRO,522,2
644,消毒,522,2
645,医药商业,522,2
646,医疗服务,522,2
647,医疗器械,523,2
648,制药设备,523,2
649,医用耗材,523,2
650,手术器械,523,2
651,保健器材,524,2
652,性保健品,524,2
653,医药保养,524,2
654,医用保健,524,2
655,酒店,525,2
656,餐饮,525,2
657,旅游,525,2
658,生活服务,525,2
659,保健按摩,525,2
660,运动健身,525,2
661,家政服务,525,2
662,婚庆服务,525,2
663,租赁服务,525,2
664,维修服务,525,2
665,石油天然气,526,2
666,电力,526,2
667,新能源,526,2
668,水利,526,2
669,矿产,526,2
670,采掘业,526,2
671,冶炼,526,2
672,环保,526,2
673,无机化工原料,527,2
674,有机化工原料,527,2
675,精细化学品,527,2
676,化工设备,527,2
677,化工工程,527,2
678,资产管理,513,2
679,金融租赁,513,2
680,征信及信评机构,513,2
681,资产评估机构,513,2
683,金融监管机构,513,2
684,国际贸易,521,2
685,海关,521,2
686,购物中心,536,2
687,超市,536,2
688,便利店,536,2
689,专卖店,536,2
690,专业店,536,2
691,百货店,536,2
692,杂货店,536,2
693,个人银行,537,3
695,私人银行,537,3
696,公司银行,537,3
697,投资银行,537,3
698,政策性银行,537,3
699,中央银行,537,3
700,人寿险,538,3
701,财产险,538,3
702,再保险,538,3
703,养老险,538,3
704,保险代理公司,538,3
705,公募基金,540,3
707,私募基金,540,3
708,第三方理财,679,3
709,资产管理公司,679,3
711,房产中介,566,3
712,职业中介,566,3
713,婚姻中介,566,3
714,战略咨询,567,3
715,投资咨询,567,3
716,心理咨询,567,3
717,留学移民咨询,567,3
718,工商注册代理,568,3
719,商标专利代理,568,3
720,财务代理,568,3
721,工程机械,620,3
722,农业机械,620,3
723,海工设备,620,3
724,包装机械,620,3
725,印刷机械,620,3
726,数控机床,620,3
727,矿山机械,620,3
728,水泵,621,3
729,管道,621,3
730,阀门,621,3
732,压缩机,621,3
733,集散控制系统,622,3
734,远程控制,622,3
735,液压系统,622,3
736,楼宇智能化,622,3
737,飞机制造,624,3
738,航空公司,624,3
739,发动机,624,3
740,复合材料,624,3
741,高铁,625,3
742,地铁,625,3
743,信号传输,625,3
745,结构材料,627,3
746,装饰材料,627,3
747,专用材料,627,3
749,经销商集团,629,3
750,整车制造,629,3
751,汽车零配件,629,3
752,外型设计,629,3
753,平版印刷,630,3
754,凸版印刷,630,3
755,凹版印刷,630,3
756,孔版印刷,630,3
757,印刷用纸,631,3
758,书写、制图及复制用纸,631,3
759,包装用纸,631,3
760,生活、卫生及装饰用纸,631,3
761,技术用纸,631,3
762,加工纸原纸,631,3
763,食品包装,632,3
764,医药包装,632,3
765,日化包装,632,3
766,物流包装,632,3
767,礼品包装,632,3
768,电子五金包装,632,3
769,汽车服务,525,2
770,汽车保养,769,3
771,租车,769,3
773,出租车,769,3
774,代驾,769,3
775,发电,666,3
777,输配电,666,3
779,风电,667,3
780,光伏/太阳能,667,3
781,生物质发电,667,3
782,煤化工,667,3
783,垃圾发电,667,3
784,核电,667,3
785,能源矿产,669,3
786,金属矿产,669,3
787,非金属矿产,669,3
788,水气矿产,669,3
789,锅炉,775,4
790,发电机,775,4
791,汽轮机,775,4
792,燃机,775,4
793,冷却,775,4
794,电力设计院,775,4
795,高压输配电,777,4
796,中压输配电,777,4
797,低压输配电,777,4
798,继电保护,777,4
799,智能电网,777,4
800,小学,516,2
801,电动车,519,2
802,皮具箱包,518,2
803,医药制造,522,2
804,电器销售,536,2
805,塑料制品,527,2
806,公益基金会,530,2
807,美发服务,525,2
808,农业养殖,531,2
809,金融服务,513,2
810,商业地产综合体,514,2
811,美容服务,525,2
812,灯饰,518,2
813,油墨颜料产品,527,2
814,眼镜制造,518,2
815,农业生物技术,531,2
816,体育用品,518,2
817,保健用品,524,2
818,化学化工产品,527,2
819,饲料,531,2
821,保安服务,525,2
822,干细胞技术,522,2
824,农药化肥,527,2
825,卫生洁具,518,2
826,体育器材、场馆,518,2
827,饲料加工,531,2
828,测绘服务,529,2
830,金属船舶制造,519,2
831,基因工程,522,2
832,花卉服务,536,2
833,农业种植,531,2
834,皮革制品,518,2
835,地理信息加工服务,529,2
836,机器人,519,2
837,礼品、广告,518,2
838,理发及美容服务,525,2
839,其他清洁服务,525,2
840,硅胶材料,527,2
841,茶叶销售,518,2
842,彩票活动,529,2
843,化妆培训,516,2
844,鞋业,518,2
845,酒店用品,518,2
846,复合材料,527,2
847,房地产工程建设,548,3
848,知识产权服务,559,3
849,新型建材,627,3
850,企业投资咨询,567,3
851,含乳饮料和植物蛋白饮料制造,594,3
852,汽车检测设备,629,3
853,手机通讯器材,417,3
854,环保材料,672,3
855,交通设施,554,3
856,电子器件,419,3
857,啤酒,594,3
858,生态旅游,657,3
859,自动化设备,626,3
860,软件开发,414,3
861,葡萄酒销售,594,3
862,钢材,633,3
863,餐饮培训,656,3
864,速冻食品,593,3
865,空气环保,672,3
866,互联网房地产经纪服务,550,3
867,食品添加剂,593,3
868,演艺传播,585,3
869,信用卡,537,3
870,报纸期刊广告,579,3
871,摄影,662,3
872,手机软件,414,3
873,地坪建材,627,3
874,企业管理咨询,567,3
875,幼儿教育,570,3
876,系统集成,416,3
877,皮革服饰,597,3
878,保健食品,593,3
879,叉车,620,3
