son,parent
1865047,725580
1400973,725580
2325591,725580
1008454,742610
2436815,1003969
1095186,1264467
2423502,1028437
1451142,1293880
1957033,1050641
1318574,1059857
1162485,1089745
1101805,1089745
1045278,1089745
1030094,1089745
1596942,728113
2066748,728113
1282235,2323115
1041668,1101846
1305201,6460
1811394,725263
1782706,725263
1728666,732328
786258,732328
785073,732328
1253423,1239747
1272505,792081
2491924,1250807
1116438,1005242
1222957,1281993
1205609,1062658
1942533,1852390
2447244,2472066
1170549,2491292
1119192,6460
2033410,1249619
1792653,1146460
765268,792081
1273324,736447
1273320,736447
1273104,736447
744772,736447
2081602,743583
1191711,779544
1458230,779544
1458222,779544
1065817,779544
1232488,1267453
1071909,1089202
1104522,1094935
1671506,1112455
1166465,779544
1209255,779544
1048073,1047663
2099707,1245730
1773956,1245730
1042306,1000692
2454725,1007792
2454701,1007792
2454697,1007792
1191998,1007792
1067702,1007792
1249347,1007792
1681577,1014187
1130488,1267489
1176163,1267545
2434197,1319633
1531216,1073893
1267851,1140416
1677353,2419140
720903,1228431
2486927,1256066
1035399,390015
2391491,723008
2196794,723008
2196770,723008
1095246,725383
2362767,726068
1051497,1250177
1021079,1250213
2258413,1015741
2414628,1015741
1078727,1015741
2128199,1015741
1796090,1015741
1031797,1265768
1826875,1265888
1277163,1266111
1327395,1023522
2424215,1025654
1041776,1041767
1163606,1227933
1236975,27413
2420820,723906
1448389,723906
420468,723906
1312207,736548
1250724,768661
1791802,1011289
1791669,1011289
1724211,1024886
1918029,1024886
1845894,1092533
1457613,1011289
1457533,1011289
1457489,1011289
1791408,1011289
1257607,1011289
1185177,1011289
1108152,1011289
1031339,1011289
1037021,1011289
1209948,1262245
1183922,1262245
1253989,742929
1060024,788664
1431512,1265731
2146436,1265731
1780835,1265731
1243103,1267072
1585431,1284613
1280838,1063701
1287452,1110550
1167308,1262277
2354753,773325
1553651,782851
796166,1010849
1774687,1265809
2480193,1266817
1132777,1144184
1159080,1164552
1152900,1164552
1076603,1164552
1051509,1164552
2024518,1222015
1051378,1228410
2391236,2473039
1539183,2005451
1187113,1035678
1213466,1164552
1173352,749451
1017067,749451
1464032,1251139
1463912,1251139
1251510,1005909
1251502,1005909
1886791,1265766
1380906,1284553
1451143,1293880
1451135,1293880
1085938,2127591
1016376,2127591
1066306,1089745
1059700,1089745
1016735,1089745
1162990,1168787
1132373,2425175
1266567,1217346
1838117,1838149
1837924,1838149
2319072,728113
1758990,728113
2323877,732377
1172365,1264159
1013567,1271311
1336630,1025727
1055255,1218246
732896,1218246
2494563,725969
1136306,725969
1079357,732328
732912,732328
1266726,792081
1585092,1250807
2132161,1010115
2289157,1042954
1473065,1042954
2029193,2491292
1272121,6460
1051114,792081
2241269,1281993
1051540,792081
1121667,736447
2403268,743583
1073671,743583
1458311,779544
1458223,779544
1268181,1250841
1425596,1262390
1563085,1264056
1092697,1265221
1328771,1271184
1281540,1277661
2434068,1064060
1250303,1103948
1271787,736447
1118280,779544
1248067,727985
2367412,794482
2454728,1007792
2454724,1007792
2454700,1007792
1210672,1007792
1067767,1007792
1041163,1007792
1236858,1007792
1235147,1007792
1234657,1007792
1055532,1261700
1415746,1292679
1650696,2386694
1664120,2419140
2165366,2419140
1799860,2419140
1153738,1256066
1166360,723008
2413749,723008
2413661,723008
2196747,723008
2132507,725383
